,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
1413,18301,Buffalo,5.0,2.0,2.0,30198.0,0.16557387906483872,91.2,28.3,12.3,11.2
1414,18302,Buffalo,2.0,0.0,0.0,16838.0,0.11877895236964009,89.6,22.0,8.4,8.5
1415,18324,Buffalo,1.0,0.0,0.0,8998.0,0.11113580795732386,87.1,22.8,14.9,11.5
1416,18330,Buffalo,1.0,1.0,1.0,7948.0,0.12581781580271767,91.1,28.1,4.0,9.0
1417,18334,Buffalo,1.0,0.0,0.0,4873.0,0.20521239482864764,90.7,15.8,12.3,13.6
1418,18344,Buffalo,2.0,0.0,0.0,3656.0,0.5470459518599562,87.0,24.1,14.6,7.5
1419,18353,Buffalo,2.0,1.0,1.0,12151.0,0.16459550654267138,89.6,20.4,8.2,7.0
1420,18360,Buffalo,4.0,2.0,2.0,26749.0,0.14953830049721487,87.3,27.8,13.9,9.2
1421,18403,Buffalo,1.0,0.0,0.0,6898.0,0.14496955639315745,92.8,29.3,12.5,4.7
1422,18407,Buffalo,3.0,2.0,2.0,13416.0,0.22361359570661896,89.8,18.0,19.2,6.5
1423,18411,Buffalo,1.0,0.0,0.0,21649.0,0.04619151000046191,96.2,44.6,5.3,3.1
1424,18424,Buffalo,2.0,0.0,0.0,5234.0,0.38211692777990064,91.3,23.3,8.3,10.4
1425,18428,Buffalo,1.0,0.0,0.0,12116.0,0.08253549026081215,90.6,23.9,10.7,8.0
1426,18446,Buffalo,1.0,2.0,2.0,3460.0,0.28901734104046245,87.3,16.5,11.0,6.8
1427,18447,Buffalo,1.0,0.0,0.0,10462.0,0.09558401835213153,94.2,28.0,14.8,1.0
1428,18452,Buffalo,1.0,0.0,0.0,4923.0,0.20312817387771684,94.3,26.7,16.4,6.3
1429,18466,Buffalo,7.0,2.0,2.0,17503.0,0.3999314403245158,86.1,18.0,11.7,12.1
1430,18503,Buffalo,1.0,0.0,0.0,1178.0,0.8488964346349746,80.4,24.4,47.8,7.4
1431,18504,Buffalo,1.0,0.0,0.0,20604.0,0.04853426519122501,87.6,19.0,20.7,6.6
1432,18505,Buffalo,2.0,0.0,0.0,20176.0,0.09912767644726408,82.7,24.1,21.4,7.6
1433,18508,Buffalo,1.0,0.0,0.0,12909.0,0.07746533426291734,88.0,16.0,26.5,6.0
1434,18509,Buffalo,3.0,0.0,0.0,13501.0,0.22220576253610844,87.5,29.7,20.9,4.8
1435,18518,Buffalo,2.0,1.0,1.0,8090.0,0.24721878862793573,93.8,24.0,15.5,4.5
1436,18603,Buffalo,2.0,1.0,1.0,19324.0,0.10349824052991098,86.8,18.0,16.4,7.1
1437,18610,Buffalo,1.0,0.0,0.0,4341.0,0.230361667818475,94.6,17.2,12.9,12.3
1438,18617,Buffalo,1.0,0.0,0.0,1773.0,0.5640157924421884,94.0,9.5,15.6,11.9
1439,18634,Buffalo,4.0,2.0,2.0,13326.0,0.30016509079993997,87.8,16.5,16.1,7.3
